experiment,version,participant,item.pair,correct.bin,pair.order,response.type,response.num,response.dur,response.start,true.dur,true.start,foil.dur,foil.start,true.type,true.structure,true.pos1,true.pos2,true.pos3,true.RFname,phase,foil.type,foil.structure,foil.pos1,foil.pos2,foil.pos3,foil.RFname,language_mother,language_father,age,sex,grade,notes,education,test.type,competitor.type
1,1,11,B,0,foil-true,foil,1,0.9620000000000033,70.961,1.4440000000000026,69.517,1.203000000000003,67.112,word,AXB,A2,X1,B2,A2_X1_B2.wav,segmentation,partword,CAX,B1,A2,X2,B1_A2_X2.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,C,1,true-foil,true,1,1.4429999999999978,86.596,1.4429999999999978,82.507,1.4429999999999978,85.153,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,D,0,true-foil,foil,2,3.3680000000000003,6.494,1.4430000000000005,2.646,1.202,5.292,word,AXB,A2,X3,B2,A2_X3_B2.wav,segmentation,partword,XCA,X2,B2,A1,X2_B2_A1.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,E,0,foil-true,foil,1,3.367999999999995,136.389,1.443000000000012,134.946,1.2019999999999982,132.3,word,AXB,A1,X2,B1,A1_X2_B1.wav,segmentation,partword,XCA,X2,B1,A2,X2_B1_A2.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,F,1,true-foil,true,1,2.646000000000001,16.838,1.202,12.749,1.4430000000000014,15.395,word,AXB,A2,X2,B2,A2_X2_B2.wav,segmentation,partword,XCA,X1,B2,A3,X1_B2_A3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,G,1,foil-true,true,2,3.1270000000000024,61.579,1.4429999999999978,60.136,1.2019999999999982,57.731,word,AXB,A3,X1,B3,A3_X1_B3.wav,segmentation,partword,CAX,B1,A3,X3,B1_A3_X3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,H,1,true-foil,true,1,1.4429999999999978,111.132,1.203000000000003,107.283,1.203000000000003,109.929,word,AXB,A1,X3,B1,A1_X3_B1.wav,segmentation,partword,CAX,B2,A1,X1,B2_A1_X1.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,I,0,true-foil,foil,2,4.810000000000002,155.633,1.203000000000003,151.784,1.203000000000003,154.43,word,AXB,A3,X3,B3,A3_X3_B3.wav,segmentation,partword,XCA,X1,B3,A2,X1_B3_A2.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,SEG,part-word
1,1,11,J,0,foil-true,foil,1,1.683000000000007,102.713,1.4439999999999884,101.269,1.4439999999999884,98.623,ruleword,AXB,A3,X5,B3,A3_X5_B3.wav,generalization,partword,NCA,X5,B3,A3,X5_B3_A3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,K,0,foil-true,foil,1,1.4429999999999978,94.534,1.203000000000003,93.331,1.4440000000000026,90.685,ruleword,AXB,A2,X4,B2,A2_X4_B2.wav,generalization,partword,XNA,X1,X4,A2,X1_X4_A2.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,L,0,true-foil,foil,2,1.4429999999999978,119.31,1.4429999999999978,115.221,1.4429999999999978,117.867,ruleword,AXB,A3,X6,B3,A3_X6_B3.wav,generalization,partword,XNA,X3,X6,A3,X3_X6_A3.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,M,0,true-foil,foil,2,1.203000000000003,78.417,1.203000000000003,74.809,1.2019999999999982,77.215,ruleword,AXB,A1,X6,B1,A1_X6_B1.wav,generalization,partword,CAN,B1,A1,X6,B1_A1_X6.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,N,1,foil-true,true,2,1.4430000000000014,28.865,1.4429999999999978,27.422,1.203000000000003,25.016,ruleword,AXB,A1,X4,B1,A1_X4_B1.wav,generalization,partword,NCA,X4,B1,A1,X4_B1_A1.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,O,1,foil-true,true,2,0.9620000000000033,127.248,1.4429999999999978,125.805,1.4440000000000026,123.399,ruleword,AXB,A2,X5,B2,A2_X5_B2.wav,generalization,partword,CAN,B2,A2,X5,B2_A2_X5.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,P,0,foil-true,foil,1,3.608000000000004,146.011,1.4439999999999884,144.567,1.4440000000000168,141.921,ruleword,AXB,A3,X4,B3,A3_X4_B3.wav,generalization,partword,CAN,B3,A3,X4,B3_A3_X4.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,Q,1,true-foil,true,1,1.4429999999999978,45.222,1.4440000000000026,41.373,1.203000000000003,44.019,ruleword,AXB,A1,X5,B1,A1_X5_B1.wav,generalization,partword,XNA,X2,X5,A1,X2_X5_A1.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,11,R,1,foil-true,true,2,1.203000000000003,37.284,1.4429999999999978,35.841,1.4429999999999978,33.195,ruleword,AXB,A2,X6,B2,A2_X6_B2.wav,generalization,partword,NCA,X6,B2,A2,X6_B2_A2.wav,YD,YD,27,F,8,"Questionable data? She was very consistently wrong in training, but then something seemed to click and she was consistently right.",secondary,GEN,part-word
1,1,14,A,1,true-foil,true,1,3.368000000000002,46.184,1.443000000000005,42.336,1.2019999999999982,44.982,word,AXB,A1,X1,B1,A1_X1_B1.wav,segmentation,partword,CAX,B3,A1,X3,B3_A1_X3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,B,1,true-foil,true,1,7.697999999999979,145.77,1.4429999999999836,141.681,1.203000000000003,144.567,word,AXB,A2,X1,B2,A2_X1_B2.wav,segmentation,partword,CAX,B1,A2,X2,B1_A2_X2.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
1,1,14,C,1,true-foil,true,1,2.164999999999992,228.037,1.4439999999999884,223.947,1.203000000000003,226.834,word,AXB,A3,X2,B3,A3_X2_B3.wav,segmentation,partword,XCA,X3,B3,A3,X3_B3_A3.wav,YD,YD,21,M,8,"Completed grade 8 (not 10), but was sent to vocational by the mission.",secondary,SEG,part-word
